,attempt_id
0,L1 N Y kar 2026-06-05 2-14-58ΓÇ»PM
1,L1 N Y kar2026-06-05 2-09-18ΓÇ»PM
2,L1 N Y teo 2026-06-05 2-16-06ΓÇ»PM
3,L1 N Y teo2026-06-05 2-06-08ΓÇ»PM
4,L2 N Y teo 2026-06-05 3-57-10ΓÇ»PM
5,L2 O Y kar2026-06-05 2-21-46ΓÇ»PM
6,L2 O Y kar2026-06-07 1-10-58 PM
7,L2 O Y kar2026-06-07 1-13-15 PM
8,L2 O Y teo2026-06-05 2-23-09ΓÇ»PM
9,L2 S Y kar2026-06-05 2-18-55ΓÇ»PM
10,L2 S Y teo2026-06-05 2-20-25ΓÇ»PM
11,L3 N Y nik2026-06-05 3-39-35ΓÇ»PM
12,L3 N Y teo2026-06-05 3-40-55ΓÇ»PM
13,L3 O N nik 2026-06-08 6-39-38 PM
14,L3 O Y kar2026-06-05 2-28-42ΓÇ»PM
15,L3 O Y kar2026-06-05 2-40-39ΓÇ»PM
16,L3 O Y kar2026-06-05 2-43-39ΓÇ»PM
17,L3 O Y kar2026-06-05 3-05-01ΓÇ»PM
18,L3 O Y teo2026-06-05 2-30-35ΓÇ»PM
19,L3 O Y teo2026-06-05 3-03-13ΓÇ»PM
20,L4 N No kar2026-06-05 2-48-12ΓÇ»PM
21,L4 N No teo2026-06-05 2-50-04ΓÇ»PM
22,L4 N No teo2026-06-05 2-50-04ΓÇ»PM 2
23,L4 N No teo2026-06-05 3-12-39ΓÇ»PM
24,L4 N No teo2026-06-05 3-58-42ΓÇ»PM
25,L4 N Y kar2026-06-05 3-07-24ΓÇ»PM
26,L4 N Y kar2026-06-05 3-14-59ΓÇ»PM
27,L4 N Y nik2026-06-05 3-10-34ΓÇ»PM
28,L4 O Y kar2026-06-07 1-15-46 PM
29,L4 O Y kar2026-06-08 7-19-25 PM
30,L4 S Y kar2026-06-05 2-38-18ΓÇ»PM
31,L4 S Y teo2026-06-05 2-36-27ΓÇ»PM
32,L5 N No Kar2026-06-05 3-28-05ΓÇ»PM
33,L5 N No kar2026-06-05 3-22-20ΓÇ»PM
34,L5 N No nik2026-06-05 3-25-17ΓÇ»PM
35,L5 N Y kar2026-06-05 3-44-59ΓÇ»PM
36,L5 N Y kar2026-06-07 1-27-33 PM
37,L5 O N kar2026-06-08 6-45-00 PM
38,L5 O Y joa2026-06-08 6-42-03 PM
39,L5 O Y joa2026-06-08 6-47-01 PM
40,L5 O Y kar2026-06-08 6-50-58 PM
41,L5 O Y teo2026-06-05 4-05-50ΓÇ»PM
42,L5 S N kar2026-06-08 6-58-23 PM
43,L5 S N kar2026-06-08 7-48-35 PM
44,L5 S Y kar2026-06-05 3-52-25ΓÇ»PM
45,L5 S Y kar2026-06-07 1-56-22 PM
46,L5 S Y kar2026-06-08 7-51-37 PM
47,L6 D No kar2026-06-05 4-02-26ΓÇ»PM
48,L6 D Y kar2026-06-05 4-09-47ΓÇ»PM
49,L6 O No kar2026-06-07 1-23-01 PM
50,L6 O No kar2026-06-07 2-07-48 PM
51,L6 O Y kar2026-06-07 1-40-37 PM
52,L6 O Y mil2026-06-07 1-35-06 PM
53,L6 S No kar2026-06-07 1-52-18 PM
