attempt_id,folder_name
0,L1 N No 2026-06-17 7-15-39 PM
1,L1 N Y 2026-06-17 7-16-54 PM
2,L1 N Y 2026-06-17 7-20-52 PM
3,L1 N Y 2026-06-17 7-22-33 PM
4,L1 N Y 2026-06-17 7-24-11 PM
5,L1 N Y 2026-06-17 7-37-42 PM
6,L1 N Y kar 2026-06-05 2-14-58ΓÇ»PM
7,L1 N Y kar2026-06-05 2-09-18ΓÇ»PM
8,L1 N Y teo 2026-06-05 2-16-06ΓÇ»PM
9,L1 N Y teo2026-06-05 2-06-08ΓÇ»PM
10,L1 S Y 2026-06-17 7-18-34 PM
11,L1 S Y 2026-06-17 8-01-49 PM
12,L2 N Y 2026-06-17 7-13-12 PM
13,L2 N Y 2026-06-17 7-25-46 PM
14,L2 N Y 2026-06-17 7-40-06 PM
15,L2 N Y 2026-06-17 7-41-29 PM
16,L2 N Y 2026-06-17 7-43-02 PM
17,L2 N Y 2026-06-17 7-54-32 PM
18,L2 N Y 2026-06-17 8-32-42 PM
19,L2 N Y teo 2026-06-05 3-57-10ΓÇ»PM
20,L2 O Y kar2026-06-05 2-21-46ΓÇ»PM
21,L2 O Y kar2026-06-07 1-10-58 PM
22,L2 O Y kar2026-06-07 1-13-15 PM
23,L2 O Y teo2026-06-05 2-23-09ΓÇ»PM
24,L2 S Y kar2026-06-05 2-18-55ΓÇ»PM
25,L2 S Y teo2026-06-05 2-20-25ΓÇ»PM
26,L3 D Y 2026-06-17 7-36-39 PM
27,L3 N Y nik2026-06-05 3-39-35ΓÇ»PM
28,L3 N Y teo2026-06-05 3-40-55ΓÇ»PM
29,L3 O No nik 2026-06-08 6-39-38 PM
30,L3 O Y kar2026-06-05 2-28-42ΓÇ»PM
31,L3 O Y kar2026-06-05 2-40-39ΓÇ»PM
32,L3 O Y kar2026-06-05 2-43-39ΓÇ»PM
33,L3 O Y kar2026-06-05 3-05-01ΓÇ»PM
34,L3 O Y teo2026-06-05 2-30-35ΓÇ»PM
35,L3 O Y teo2026-06-05 3-03-13ΓÇ»PM
36,L4 N No kar2026-06-05 2-48-12ΓÇ»PM
37,L4 N No teo2026-06-05 2-50-04ΓÇ»PM
38,L4 N No teo2026-06-05 2-50-04ΓÇ»PM 2
39,L4 N No teo2026-06-05 3-12-39ΓÇ»PM
40,L4 N No teo2026-06-05 3-58-42ΓÇ»PM
41,L4 N Y 2026-06-17 7-44-53 PM
42,L4 N Y kar2026-06-05 3-07-24ΓÇ»PM
43,L4 N Y kar2026-06-05 3-14-59ΓÇ»PM
44,L4 N Y nik2026-06-05 3-10-34ΓÇ»PM
45,L4 O No 2026-06-17 7-28-41 PM
46,L4 O No 2026-06-17 7-32-20 PM
47,L4 O Y kar2026-06-07 1-15-46 PM
48,L4 O Y kar2026-06-08 7-19-25 PM
49,L4 S Y kar2026-06-05 2-38-18ΓÇ»PM
50,L4 S Y teo2026-06-05 2-36-27ΓÇ»PM
51,L5 D Y 2026-06-17 7-57-38 PM
52,L5 N No Kar2026-06-05 3-28-05ΓÇ»PM
53,L5 N No kar2026-06-05 3-22-20ΓÇ»PM
54,L5 N No nik2026-06-05 3-25-17ΓÇ»PM
55,L5 N Y 2026-06-17 8-07-28 PM
56,L5 N Y kar2026-06-05 3-44-59ΓÇ»PM
57,L5 N Y kar2026-06-07 1-27-33 PM
58,L5 O No kar2026-06-08 6-45-00 PM
59,L5 O Y 2026-06-17 8-05-22 PM
60,L5 O Y joa2026-06-08 6-42-03 PM
61,L5 O Y joa2026-06-08 6-47-01 PM
62,L5 O Y kar2026-06-08 6-50-58 PM
63,L5 O Y teo2026-06-05 4-05-50ΓÇ»PM
64,L5 S No 2026-06-17 7-45-56 PM
65,L5 S No kar2026-06-08 6-58-23 PM
66,L5 S No kar2026-06-08 7-48-35 PM
67,L5 S Y 2026-06-17 7-47-48 PM
68,L5 S Y 2026-06-17 7-49-40 PM
69,L5 S Y kar2026-06-05 3-52-25ΓÇ»PM
70,L5 S Y kar2026-06-07 1-56-22 PM
71,L5 S Y kar2026-06-08 7-51-37 PM
72,L6 D No 2026-06-17 8-49-05 PM
73,L6 D No kar2026-06-05 4-02-26ΓÇ»PM
74,L6 D Y kar2026-06-05 4-09-47ΓÇ»PM
75,L6 N No 2026-06-17 8-12-29 PM
76,L6 N Y 2026-06-17 7-52-50 PM
77,L6 O No kar2026-06-07 1-23-01 PM
78,L6 O No kar2026-06-07 2-07-48 PM
79,L6 O Y kar2026-06-07 1-40-37 PM
80,L6 O Y mil2026-06-07 1-35-06 PM
81,L6 S No 2026-06-17 8-30-48 PM
82,L6 S No kar2026-06-07 1-52-18 PM
